id,arrival,service time start,service time end,total delay,Service time,queue time
1,0.6507102842809601,0.6507102842809601,65.78003810535633,65.12932782107536,65.12932782107536,0.0
2,1.312137915966748,65.78003810535633,68.09873410466427,66.78659618869753,2.318695999307953,64.46790018938958
3,2.4641870188843704,68.09873410466427,100.2597137854954,97.79552676661103,32.16097968083113,65.6345470857799
4,3.404363301094065,100.2597137854954,103.29799444862049,99.89363114752642,3.038280663125076,96.85535048440134
5,9.551147436325634,103.29799444862049,103.53272048814215,93.98157305181651,0.23472603952166105,93.74684701229485
6,10.952080748481066,103.53272048814215,114.33804923520503,103.38596848672397,10.805328747062887,92.58063973966108
7,11.86244489508704,114.33804923520503,116.20024469213023,104.33779979704319,1.8621954569251924,102.475604340118
8,13.881941358615464,116.20024469213023,116.22309029865025,102.34114894003478,0.022845606520017218,102.31830333351476
9,14.299860757518887,116.22309029865025,126.20774893695969,111.90788817944079,9.984658638309433,101.92322954113136
10,17.81857302309147,126.20774893695969,136.90828081155254,119.08970778846107,10.70053187459286,108.38917591386821
11,20.07407257132736,136.90828081155254,139.99527167998045,119.92119910865308,3.0869908684279044,116.83420824022518
12,21.65507677836527,139.99527167998045,142.65880103374903,121.00372425538377,2.66352935376859,118.34019490161518
13,24.59542562132262,142.65880103374903,143.71891256448723,119.12348694316462,1.0601115307382094,118.06337541242641
14,28.113343345143043,143.71891256448723,158.94732602436073,130.83398267921768,15.228413459873519,115.60556921934418
15,29.358395394845804,158.94732602436073,161.19459873848433,131.83620334363852,2.247272714123606,129.58893062951492
16,33.34912188814288,161.19459873848433,172.4357437215726,139.08662183342972,11.24114498308827,127.84547685034144
17,34.02240691832758,172.4357437215726,192.7684084730288,158.74600155470122,20.332664751456218,138.41333680324502
18,41.21111262549911,192.7684084730288,219.1988304056277,177.98771778012858,26.430421932598875,151.5572958475297
19,41.2721714537752,219.1988304056277,236.08700882132214,194.81483736754694,16.888178415694462,177.9266589518525
20,41.353329182738754,236.08700882132214,239.89675501852258,198.54342583578384,3.8097461972004374,194.7336796385834
21,41.9970652609511,239.89675501852258,269.9176728624196,227.92060760146848,30.020917843896985,197.89968975757148
22,45.21465393129601,269.9176728624196,273.4698450772448,228.25519114594883,3.5521722148252697,224.70301893112355
23,46.10773332828546,273.4698450772448,291.77065339498813,245.66292006670267,18.300808317743307,227.36211174895936
24,47.171662984160655,291.77065339498813,341.26873038283014,294.0970673986695,49.49807698784199,244.59899041082747
25,48.683205201508486,341.26873038283014,350.80299416172915,302.11978896022066,9.534263778898978,292.58552518132166
26,49.83597471651681,350.80299416172915,354.5552533834019,304.7192786668851,3.7522592216727806,300.9670194452123
27,50.152645884880876,354.5552533834019,361.685839040348,311.53319315546713,7.130585656946094,304.40260749852104
28,50.34794901078299,361.685839040348,370.6835035016296,320.3355544908466,8.997664461281602,311.337890029565
29,54.38199089175803,370.6835035016296,382.42482804711545,328.0428371553574,11.741324545485856,316.30151260987157
30,61.76058302489434,382.42482804711545,387.39719964178795,325.6366166168936,4.972371594672482,320.6642450222211
31,62.243532572353864,387.39719964178795,388.7726467545251,326.52911418217127,1.3754471127371362,325.1536670694341
32,62.87790179324086,388.7726467545251,414.9910266900641,352.1131248968232,26.218379935538962,325.89474496128423
33,63.793708400858314,414.9910266900641,415.2167876414313,351.42307924057303,0.22576095136725116,351.1973182892058
34,66.0695302321688,415.2167876414313,462.1550985470278,396.085568314859,46.93831090559648,349.1472574092625
35,69.04034850393745,462.1550985470278,498.5266590582019,429.48631055426443,36.371560511174096,393.11475004309034
36,73.2619654167013,498.5266590582019,512.5827292584374,439.32076384173615,14.056070200235526,425.2646936415006
37,74.48676953584858,512.5827292584374,524.3302975608482,449.84352802499967,11.74756830241078,438.0959597225889
38,75.49584925250629,524.3302975608482,526.0841706006654,450.5883213481591,1.7538730398172444,448.8344483083419
39,77.97810403325664,526.0841706006654,536.4212415773945,458.44313754413787,10.337070976729088,448.1060665674088
40,78.5673403353625,536.4212415773945,539.995855723484,461.4285153881216,3.574614146089522,457.85390124203207
41,79.8895678752394,539.995855723484,549.0296759469495,469.1401080717102,9.03382022346551,460.1062878482447
42,82.61601590593489,549.0296759469495,551.4299870611022,468.8139711551674,2.400311114152769,466.4136600410146
43,85.91824225442757,551.4299870611022,551.9028431951691,465.98460094074153,0.47285613406688703,465.51174480667464
44,92.38553012335547,551.9028431951691,557.6623298348123,465.2767997114569,5.75948663964324,459.51731307181365
45,93.6841568998979,557.6623298348123,560.6862323077086,467.0020754078106,3.0239024728961774,463.9781729349144
46,93.78386099870437,560.6862323077086,585.6842380334114,491.90037703470705,24.99800572570285,466.9023713090042
47,96.23382940202315,585.6842380334114,587.011322373066,490.7774929710429,1.3270843396546483,489.4504086313882
48,98.40761986342977,587.011322373066,589.8733081251876,491.46568826175775,2.861985752121493,488.60370250963626
49,99.55532334689947,589.8733081251876,598.7432506949212,499.18792734802184,8.8699425697337,490.3179847782881
50,102.77453940550141,598.7432506949212,623.4360955874029,520.6615561819015,24.692844892481588,495.96871128941984
51,104.67098604423286,623.4360955874029,634.2724558850641,529.6014698408312,10.836360297661287,518.76510954317
52,106.86065958091972,634.2724558850641,636.6317924360579,529.7711328551383,2.359336550993797,527.4117963041444
53,107.77203441252045,636.6317924360579,643.7618766066795,535.989842194159,7.130084170621505,528.8597580235374
54,108.27530219437259,643.7618766066795,644.8883051702888,536.6130029759163,1.1264285636093496,535.4865744123069
55,110.5009569721684,644.8883051702888,648.2530022633335,537.7520452911651,3.364697093044733,534.3873481981204
